,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID GENERALES,,,,,,UBICACIÓN,,,,SUP. MEDIDAS,,,,,DISTRIBUCIÓN,,,,,CONSTRUCTIVO,,,,SERVICIOS,,,,,,EQUIPAMENTO,COMERCIAL,,,,,,,,,
ID,PROPIETARIO,ESTADO,INQUILINO,TIPO DE OPERACIÓN,TIPO DE PROPIEDAD,DEPARTAMENTO,BARRIO,NÚMERO,COMPRA EN SAN JUAN,GPS,SUPERF. TERRENO,SUPERF.CUB.,FRENTE/CONTRF,N DE PISOS,CANT. AMBIENTES,CANT. DORMITORIOS,CANT.BANOS,COCHERA,ASCENSOR/ESCAL,ORIENTACION,PLANO DE ESTR,PLANO MENS,AÑO DE CONST,Nº SUMIN,CLOACAS,CAÑERIA,ELECTRIC,INTERNET,AGUA,CALEF/REFRIG,DNI-PROP,DNI-INQ,PERM/FINAN,N.C,EXPENSAS,MonedaP,PRECIO,MonedaM,Mensual,FECHA PUBLICACIÓN
,,,,ALQUILER,LOCAL/SALÓN/OFICINA,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2648388/-128680-alquiler-local-comercial-mendoza-pasando-av-cordoba-128680,,50,50,,,,,,,,,,,Menos de 5 a�os,,,,,,,,,,,,,,,PESOS,700.000,23/06/2026
,,,,ALQUILER,LOCAL/SALÓN/OFICINA,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2641156/-127978-alquiler-local-comercial-rivadavia-pasando-sarmiento-30-m-cuadrados,,,,,,,1,,,,,,,Menos de 30 a�os,,,,,,,,,,,,,,,PESOS,750.000,04/06/2026
,,,,ALQUILER,LOCAL/SALÓN/OFICINA,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2647172/-128205-alquiler-local-comercial-tucuman-antes-de-sta-fe,,36,36,,,,,,,,,,,Menos de 5 a�os,,,,,,,,,,,,,,,PESOS,650.000,19/06/2026
,,,,ALQUILER,DEPARTAMENTO,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2601747/-127961-65039-alquiler-monoambiente-en-zona-centrica,,25,25,,,,1,,,,,,,Menos de 20 a�os,,,,,,,,,,,,,,,PESOS,400.000,06/03/2026
,,,,ALQUILER,CASA,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2637360/-127969-casa-en-alquiler-3-dormitorios-b-opcion-ideal-para-familias-10024,,,,,,,5,,,,,,,Menos de 30 a�os,,,,,,,,,,,,,,,PESOS,900.000,27/05/2026
,,,,VENTA,CASA,Pocito,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2602660/-127969-casa-en-venta-villa-elisa-pocito,,303,143,,,,5,,,,,,,Menos de 20 a�os,,,,,,,,,,,,,DOLARES,105.000,,,09/03/2026
,,,,ALQUILER,DEPARTAMENTO,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2645804/-127969-departamento-en-alquiler-barrio-uvt-2-dormitorios-cochera-capital,,,,,,,3,,SI,,,,,Menos de 40 a�os,,,,,,,,,,,,,,,PESOS,580.000,16/06/2026
,,,,,TERRENO/LOTE,Pocito,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2618141/-128176-inversion-inteligente-lote-con-mejoras-en-puesta-de-sol-lote-listo-para-construir,,1500,1500,,,,,,,,,,,Menos de 5 a�os,,,,,,,,,,,,,,,DOLARES,18.000,13/04/2026
,,,,ALQUILER,LOCAL/SALÓN/OFICINA,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2640070/-128273-local-comercial-en-alquiler-zona-centrica-mendoza-casi-laprida,,10,10,,,,1,,,,,,,Menos de 40 a�os,,,,,,,,,,,,,,,PESOS,850.000,02/06/2026
,,,,ALQUILER,LOCAL/SALÓN/OFICINA,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2627943/-127970-oficina-de-categoria-en-alquiler-ubicacion-estrategica-av-libertador-y-sgo-del-estero,,,,,,,3,,,,,,,Menos de 20 a�os,,,,,,,,,,,,,,,PESOS,950.000,05/05/2026
,,,,ALQUILER,LOCAL/SALÓN/OFICINA,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2607282/-128188-oficina-en-alquiler-espacios-comodos-y-bien-distribuidos,,,,,,,3,,,,,,,Menos de 5 a�os,,,,,,,,,,,,,,,PESOS,450.000,18/03/2026
,,,,VENTA,CASA,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2621852/-127969-oportunidad-en-capital-venta-casa-con-pileta-y-quincho-b-los-troncos,,270,16978,,,,4,,SI,,,,,Menos de 30 a�os,,,,,,,,,,,,,DOLARES,160.000,,,21/04/2026
,,,,,DEPARTAMENTO,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2616467/-128293-oportunidad-loft-amplio-ubicacion-estrategica-128293,,100,100,,,,1,,SI,,,,,Menos de 10 a�os,,,,,,,,,,,,,,,PESOS,750.000,09/04/2026
