,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID GENERALES,,,,,,UBICACIÓN,,,,SUP. MEDIDAS,,,,,DISTRIBUCIÓN,,,,,CONSTRUCTIVO,,,,SERVICIOS,,,,,,EQUIPAMENTO,COMERCIAL,,,,,,,,,
ID,PROPIETARIO,ESTADO,INQUILINO,TIPO DE OPERACIÓN,TIPO DE PROPIEDAD,DEPARTAMENTO,BARRIO,NÚMERO,COMPRA EN SAN JUAN,GPS,SUPERF. TERRENO,SUPERF.CUB.,FRENTE/CONTRF,N DE PISOS,CANT. AMBIENTES,CANT. DORMITORIOS,CANT.BANOS,COCHERA,ASCENSOR/ESCAL,ORIENTACION,PLANO DE ESTR,PLANO MENS,AÑO DE CONST,Nº SUMIN,CLOACAS,CAÑERIA,ELECTRIC,INTERNET,AGUA,CALEF/REFRIG,DNI-PROP,DNI-INQ,PERM/FINAN,N.C,EXPENSAS,MonedaP,PRECIO,MonedaM,Mensual,FECHA PUBLICACIÓN
I-0016,,DISPONIBLE,,ALQUILER,OFICINAS,Capital,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2647163/-127970-alquiler-importante-local-comercial-sobre-calle-rivadavia-y-av-rawson-amplios-salones-y-sotanos,,260,260,,,,,,,,SIN ESPECIFICAR,,,Menos de 40 años,,,,,,,,,,,,,,,PESOS,2.300.000,19/06/2026
I-0017,,DISPONIBLE,,ALQUILER,DEPARTAMENTO,Capital,,2054,https://www.compraensanjuan.com/anuncio_in/2641138/alquiler-premium-departamento-amoblado-2-dormitorios-en-jardines-de-libertador,,,,,,3,2,1,,,OESTE,,,Menos de 40 años,,,,,,,,,,,,,,,PESOS,1.000.000,04/06/2026
I-0018,,DISPONIBLE,,ALQUILER,OFICINAS,Capital,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2641156/-127978-alquiler-local-comercial-rivadavia-pasando-sarmiento-30-m-cuadrados,,,,,,1,,1,,,SIN ESPECIFICAR,,,Menos de 30 años,,,,,,,,,,,,,,,PESOS,750.000,04/06/2026
I-0019,,DISPONIBLE,,ALQUILER,OFICINAS,Capital,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2645855/-128205-alquiler-de-importante-local-comercial-en-peatonal-rivadavia,,275,275,,,,,1,,,SIN ESPECIFICAR,,,Menos de 5 años,,,,,,,,,,,,,,,PESOS,,16/06/2026
I-0020,,DISPONIBLE,,VENTA,CASA,Capital,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2265697/ideal-clinica-venta-casa-de-3-pisos-sobre-calle-san-luis,,501,450,,,,5,,,,SIN ESPECIFICAR,,,Menos de 5 años,,,,,,,,,,,,,DOLARES,320.000,,,29/02/2024
I-0021,,DISPONIBLE,,ALQUILER,CASA,Capital,,379,https://www.compraensanjuan.com/anuncio_in/2535181/alquiler-casa-centrica-con-destino-comercial-4-dormitorios-capital,,,,,,5,4,3,,,SUR,,,Menos de 30 años,,,,,,,,,,,,,,,PESOS,2.000.000,02/10/2025
I-0022,,DISPONIBLE,,ALQUILER,OFICINAS,Capital,,71,https://www.compraensanjuan.com/anuncio_in/2615556/alquiler-local-comercial-en-pleno-centro,,30,30,,,2,,2,,,SUR,,,Menos de 5 años,,,,,,,,,,,,,,,PESOS,1.500.000,07/04/2026
I-0023,,DISPONIBLE,,VENTA,CASA,Capital,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2622828/-127969-venta-amplia-casa-450-m-cubiertos-3-dormitorios-zona-urquiza-y-circunvalacion,,450,180,,,4,3,3,,,SIN ESPECIFICAR,,,Mas de 40 años,,,,,,,,,,,,,DOLARES,200.000,,,23/04/2026
I-0024,,DISPONIBLE,,VENTA,DEPARTAMENTO,Capital,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2636789/-128205-venta-oportunidad-departamento-catamaran-6-2-dormitorios-con-cochera,,112,112,,,3,2,2,,,SIN ESPECIFICAR,,,Menos de 20 años,,,,,,,,,,,,,DOLARES,200.000,,,26/05/2026
I-0025,,DISPONIBLE,,ALQUILER,CASA,Rivadavia,,907,https://www.compraensanjuan.com/anuncio_in/2641188/-127969-alquiler-de-casa-en-rivadavia-3-dormitorios-a-metros-de-calle-meglioli,,,,,,4,3,1,1,,SIN ESPECIFICAR,,,1,,,,,,,,,,,,,,,PESOS,980.000,04/06/2026
